No se encuentra la base de datos indicada.﻿0
Fecha|Valor
2004-01-06 00:00:00|103.6
2004-01-07 00:00:00|114.6
2004-01-08 00:00:00|108.9
2004-01-09 00:00:00|109.3
2004-01-10 00:00:00|116.5
2004-01-11 00:00:00|154.0
2004-01-12 00:00:00|116.5
2004-01-13 00:00:00|124.1
2004-01-14 00:00:00|108.9
2004-01-15 00:00:00|104.1
2004-01-16 00:00:00|294.0
2004-01-17 00:00:00|445.1
2004-01-18 00:00:00|450.6
2004-01-19 00:00:00|314.4
2004-01-20 00:00:00|132.0
2004-01-21 00:00:00|107.0
2004-01-22 00:00:00|107.0
2004-01-23 00:00:00|114.6
2004-01-24 00:00:00|114.6
2004-01-25 00:00:00|114.6
2004-01-26 00:00:00|104.1
2004-01-27 00:00:00|95.4
2004-01-28 00:00:00|102.7
2004-01-29 00:00:00|285.3
2004-01-30 00:00:00|441.4
2004-01-31 00:00:00|456.2
2004-02-01 00:00:00|268.0
2004-02-02 00:00:00|116.5
2004-02-03 00:00:00|103.4
2004-02-04 00:00:00|91.78
2004-02-05 00:00:00|228.5
2004-02-06 00:00:00|257.3
2004-02-07 00:00:00|115.1
2004-02-08 00:00:00|88.88
2004-02-09 00:00:00|89.6
2004-02-10 00:00:00|129.8
2004-02-11 00:00:00|98.3
2004-02-12 00:00:00|84.53
2004-02-13 00:00:00|129.8
2004-02-14 00:00:00|188.2
2004-02-15 00:00:00|93.22
2004-02-16 00:00:00|211.0
2004-02-17 00:00:00|173.8
2004-02-18 00:00:00|91.78
2004-02-19 00:00:00|80.9
2004-02-20 00:00:00|78.0
2004-02-21 00:00:00|78.0
2004-02-22 00:00:00|78.0
2004-02-23 00:00:00|78.0
2004-02-24 00:00:00|83.2
2004-02-25 00:00:00|84.53
2004-02-26 00:00:00|79.45
2004-02-27 00:00:00|241.6
2004-02-28 00:00:00|515.1
2004-02-29 00:00:00|488.0
2004-03-01 00:00:00|263.9
2004-03-02 00:00:00|118.8
2004-03-03 00:00:00|91.05
2004-03-04 00:00:00|85.25
2004-03-05 00:00:00|260.5
2004-03-06 00:00:00|478.5
2004-03-07 00:00:00|541.0
2004-03-08 00:00:00|288.9
2004-03-09 00:00:00|103.4
2004-03-10 00:00:00|85.97
2004-03-11 00:00:00|307.5
2004-03-12 00:00:00|489.7
2004-03-13 00:00:00|530.2
2004-03-14 00:00:00|317.0
2004-03-15 00:00:00|108.1
2004-03-16 00:00:00|312.0
2004-03-17 00:00:00|515.1
2004-03-18 00:00:00|523.0
2004-03-19 00:00:00|526.6
2004-03-20 00:00:00|502.5
2004-03-21 00:00:00|347.5
2004-03-22 00:00:00|100.1
